100%;;;;;;;;;;;;;;
Sous-jacent;Type;Échéance;Achat;Vente;Cours du Sous-Jacent;Parité (ss-jacent/produit);Frais de gestion/an;Éligible PEA;Garantie de change;Dividendes;Perf 1 an;Mnémo;Isin;Dernière mise à jour
WISE LONG/SHORT;;15 sept. 16;736,10 € (c);743,50 € (c);1 pts;1/1;0 %;Non;Non;-; 21,44 %;2735s;XS0247505075;08/02/2010 17:29:51
WOWAX;;23 jan. 15;160,35 € (c);161,96 € (c);1 674,44 pts;1/10;0,85 %;Non;Non;-;+15,14 %;1682s;FR0010308635;08/02/2010 17:29:42
WTI;;Ouverte;40,37 € (c);40,47 € (c);71,64 $;0,5948/1;0,5 %;Non;Oui;-;+39,67 %;2125s;FR0010511543;08/02/2010 17:29:52
WTI;;Ouverte;29,68 € (c);29,78 € (c);71,64 $;0,5685/1;1 %;Non;Non;-;+32,69 %;2382s;FR0010583914;08/02/2010 17:29:50
WTI;;21 avril 10;52,80 € (c);52,95 € (c);72,45 $;1/1;0,2 %;Non;Non;-;  ;7200s;FR0010850552;08/02/2010 17:29:35
WTI;;24 fév. 10;52,05 € (c);52,15 € (c);71,64 $;1/1;0,2 %;Non;Non;-;  ;7041s;FR0010806927;08/02/2010 17:29:22
ZINC;;29 déc. 10;17,44 € (c);17,64 € (c);2 001,50 $;0,9112/100;1 %;Non;Oui;-;+63,16 %;1294s;FR0010287458;08/02/2010 17:29:43
* CQ :coût du quanto calculé chaque jour;;;;;;;;;;;;;;
** taux variable composé d'une partie fixe de 1.50% et d'une partie variable égale à la différence entre les taux dollars et les taux euro.;;;;;;;;;;;;;;
Les chiffres relatifs à des performances futures sont des prévisions qui ne constituent pas un indicateur fiable quant aux performances futures.;;;;;;;;;;;;;;
Les gains ou pertes éventuels peuvent se voir réduits ou augmentés en fonction des taux de change et ne prennent pas en compte les frais, commissions et redevances éventuels supportés par l'investisseur;;;;;;;;;;;;;;
(ex : impôts, taxes ou autres frais induits par la réglementation locale, frais de courtage ou autres commissions prélevés par l'intermédiaire financier...);;;;;;;;;;;;;;
