Bonus Cappé;;;;;;;;;;;;;
Sous-jacent;Niveau bonus;Barrière;Constatation finale;Échéance;Parité (produit/ss-jacent);Achat;Vente;Cours du Sous-Jacent;Rendement max. potentiel *;Ecart/seuil **;Mnémo;Isin;Dernière mise à jour
VALLOUREC;102,34 €;60,20 €;5 mars 10;19 mars 10;1/1;102,15 € (c);102,45 € (c);122,84 €;0,00%; 50,99%;6774S;FR0010776831;08/02/2010 17:25:00
VALLOUREC;131,09 €;73,05 €;30 sept. 10;14 oct. 10;1/1;125,93 € (c);126,43 € (c);122,84 €;3,69%; 40,53%;7017S;FR0010800763;08/02/2010 17:29:00
VALLOUREC;147,35 €;93,84 €;23 déc. 10;6 jan. 11;1/1;125,39 € (c);125,89 € (c);122,84 €;17,05%; 23,61%;7198S;FR0010845206;08/02/2010 17:29:02
VEOLIA;28,18 €;17,05 €;30 sept. 10;18 oct. 10;1/1;26,44 € (c);26,59 € (c);23,27 €;5,98%; 26,73%;0297S;FR0010801688;08/02/2010 17:29:53
VINCI;35,72 €;22,33 €;5 mars 10;19 mars 10;1/1;35,63 € (c);35,78 € (c);38,01 €;0,00%; 41,25%;6775S;FR0010776864;08/02/2010 17:25:00
VINCI;44,63 €;27,06 €;30 sept. 10;18 oct. 10;1/1;40,81 € (c);41,01 € (c);38,01 €;8,83%; 28,81%;0295S;FR0010801662;08/02/2010 17:29:32
VINCI;45,11 €;28,62 €;17 jan. 11;31 jan. 11;1/1;38,88 € (c);39,03 € (c);38,01 €;15,58%; 24,70%;7199S;FR0010845214;08/02/2010 17:29:32
VIVENDI;22,21 €;14,03 €;30 sept. 10;14 oct. 10;1/1;19,15 € (c);19,25 € (c);18,015 €;15,38%; 22,12%;7014S;FR0010800722;08/02/2010 17:29:52
* Rendement en cas de remboursement au Niveau Bonus. Cela correspond au rendement maximum du placement pour un investissement au cours actuel du produit.;;;;;;;;;;;;;
** Baisse du sous-jacent en clôture par rapport au niveau actuel pour laquelle le Niveau Bonus n'est plus garanti (Barrière désactivée). Dans ce cas, le certificat vaudra à échéance la valeur de l'action à la Date de constatation finale.;;;;;;;;;;;;;
Les chiffres relatifs à des performances futures sont des prévisions qui ne constituent pas un indicateur fiable quant aux performances futures.;;;;;;;;;;;;;
Les gains ou pertes éventuels peuvent se voir réduits ou augmentés en fonction des taux de change et ne prennent pas en compte les frais, commissions et redevances éventuels supportés par l'investisseur;;;;;;;;;;;;;
(ex : impôts, taxes ou autres frais induits par la réglementation locale, frais de courtage ou autres commissions prélevés par l'intermédiaire financier...);;;;;;;;;;;;;
