Warrants Actions;;;;;;;;;;
Type Warrant;Prix d'exercice;Échéance;Achat;Vente;Parité (warrant/ss-jacent);Delta;Effet de levier;Mnémo;Isin;Dernière mise à jour
ACCOR  34,56 €;;;;;;;;;;
;;;;;;;;;;
ARCELOR-MITTAL  28,10 €;;;;;;;;;;
Call;30 €;19 mars 10;0,24 € (c);0,25 € (c);5/1;36,4 %;8,33;0079S;FR0010796649;08/02/2010 17:25:38
Call;33 €;19 mars 10;0,08 € (c);0,09 € (c);5/1;16 %;10,50;0553S;FR0010818179;08/02/2010 16:49:00
Put;25 €;19 mars 10;0,18 € (c);0,19 € (c);5/1; 25,2 %;7,62;0080S;FR0010796656;08/02/2010 17:17:48
Call;30 €;18 juin 10;0,50 € (c);0,51 € (c);5/1;44,8 %;4,98;6474S;FR0010759464;08/02/2010 17:27:13
Call;35 €;18 juin 10;0,08 € (c);0,09 € (c);10/1;20,4 %;6,68;6735S;FR0010774489;08/02/2010 16:46:51
Put;25 €;18 juin 10;0,45 € (c);0,46 € (c);5/1; 31 %;3,81;0642S;FR0010836361;08/02/2010 17:17:48
Call;35 €;17 sept. 10;0,36 € (c);0,37 € (c);5/1;29,8 %;4,58;0081S;FR0010796664;08/02/2010 17:25:04
Call;35 €;17 déc. 10;0,45 € (c);0,46 € (c);5/1;34,9 %;4,31;0643S;FR0010836379;08/02/2010 17:28:36
Call;40 €;17 déc. 10;0,12 € (c);0,13 € (c);10/1;20,6 %;4,57;0493S;FR0010817536;08/02/2010 16:40:23
Put;25 €;17 déc. 10;0,76 € (c);0,77 € (c);5/1; 32,4 %;2,37;0644S;FR0010836387;08/02/2010 17:25:04
Call;40 €;18 mars 11;0,38 € (c);0,39 € (c);5/1;26,2 %;3,81;0645S;FR0010836395;08/02/2010 17:17:56
Call;45 €;16 mars 12;0,16 € (c);0,17 € (c);10/1;23,1 %;3,94;9313S;FR0010676957;08/02/2010 17:25:39
Call;70 €;15 mars 13;0,27 € (c);0,28 € (c);4/1;12,6 %;3,19;6039S;FR0010724500;08/02/2010 17:17:30
Call;110 €;15 mars 13;0,01 € (c);0,03 € (c);20/1;1,8 %;1,23;8710S;FR0010642942;08/02/2010 11:57:04
Call;60 €;21 mars 14;0,61 € (c);0,62 € (c);5/1;26,9 %;2,45;0646S;FR0010836403;08/02/2010 17:18:00
;;;;;;;;;;
AXA  14,245 €;;;;;;;;;;
Call;9,771 €;19 mars 10;1,13 € (c);1,18 € (c);3,91/1;97,3 %;3,06;6218S;FR0010737080;08/02/2010 17:29:52
Call;11,725 €;19 mars 10;1,38 € (c);1,42 € (c);1,96/1;87,2 %;4,53;6111S;FR0010731794;08/02/2010 17:29:49
